,0
0,0.48880348
1,0.48880348
2,0.48880348
3,0.48880354
4,0.96750313
5,1.4462028
6,0.48880348
7,0.48880348
8,0.48880348
9,0.48880348
10,0.967497
11,0.96750313
12,0.8387039
13,0.48880348
14,1.4019709
15,2.4030154
16,0.96736985
17,0.96750313
18,0.4888038
19,1.4462423
20,1.0962691
21,0.48880348
22,1.4462155
23,0.48880348
24,1.4462028
25,0.48880348
26,0.48880348
27,1.4203827
28,1.6139184
29,0.5330354
30,0.96750313
31,0.48880348
32,0.967503
33,0.96750313
34,0.48880348
35,0.48880348
36,1.9249023
37,0.48880348
38,0.9570324
39,1.2762723
40,1.4462026
41,2.4035974
42,0.48880348
43,0.48880348
44,0.48880348
45,2.4162714
46,0.48880348
47,0.48880348
48,2.4036608
49,0.96750283
